,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Climate-related  Disasters,Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Race/Ethnicity | Minority Population,Respiratory Infection | New Tuberculosis Cases,Transportation | Public Transportation Use
535,8,2,1,1,1,0,1,1,2017,24.04398521,4.187787301,11.3,61.48137772425627,83.21797404,55.40436785884803,5.8018557743409485,34.595844735364885
536,8,2,2,1,1,0,1,1,2017,34.41573536,9.235269362,11.3,61.48137772425627,76.15540974,55.40436785884803,5.8018557743409485,34.595844735364885
537,8,3,0,1,1,0,1,1,2017,11.55208646,3.656177126,11.300000000000002,61.47969986328212,83.91585218,55.40424411623074,5.803634761388191,44.22439468
538,8,3,1,1,1,0,1,1,2017,8.867582129957444,1.4034509604512635,11.3,61.48137772425627,91.25631622,55.40436785884803,5.8018557743409485,39.892951436634654
539,8,3,2,1,1,0,1,1,2017,18.62982506,5.292649183,11.3,61.48137772425627,79.0771915,55.40436785884803,5.8018557743409485,39.892951436634654
540,8,5,0,1,1,0,1,1,2017,31.127560787810037,3.919218787487723,11.300000000000002,61.47969986328212,80.84806448593264,55.40424411623074,5.803634761388191,37.67967146
541,8,1,0,1,1,0,1,1,2017,40.047057,3.695680001,11.300000000000002,61.47969986328212,80.72972216,55.40424411623074,5.803634761388191,28.67718004
542,8,1,1,1,1,0,1,1,2017,38.64060284,2.5304978817631576,11.3,61.48137772425627,83.15154137,55.40436785884803,5.8018557743409485,25.471324662664227
543,8,1,2,1,1,0,1,1,2017,42.79587637,6.882674478,11.3,61.48137772425627,78.15093898,55.40436785884803,5.8018557743409485,25.471324662664227
544,8,0,0,1,1,0,1,1,2018,27.39892499,3.101013924,11.3,67.09363782,81.06251906,55.81827328,5.6,25.7079747
545,8,0,1,1,1,0,1,1,2018,25.11064025,1.363654428,11.300000000000002,62.88916218671788,84.66089902,55.50819227376926,5.3174589706923205,29.104022727692758
546,8,0,2,1,1,0,1,1,2018,31.16315435,5.189497177,11.300000000000002,62.88916218671788,77.56267463,55.50819227376926,5.3174589706923205,29.104022727692758
547,8,4,0,1,1,0,1,1,2018,28.12566131,2.9162394859254945,11.300000000000002,62.88916218671788,86.04184856,55.50819227376926,5.3174589706923205,28.79286901
548,8,4,1,1,1,0,1,1,2018,16.90708102,1.9640772453632949,11.3,62.887484325743735,89.53903727624254,55.50806853115198,5.3159008733342406,30.02564931663646
549,8,4,2,1,1,0,1,1,2018,42.25067462,3.9905940789823857,11.3,62.887484325743735,83.62497603081567,55.50806853115198,5.3159008733342406,30.02564931663646
550,8,2,0,1,1,0,1,1,2018,24.17290737,4.145222378,11.300000000000002,62.88916218671788,79.56959665,55.50819227376926,5.3174589706923205,30.06161481
551,8,2,1,1,1,0,1,1,2018,24.733615755272957,3.9923750357000065,11.3,62.887484325743735,82.94133462,55.50806853115198,5.3159008733342406,33.45745911463511
552,8,2,2,1,1,0,1,1,2018,31.11848553,8.194850435,11.3,62.887484325743735,74.79002994,55.50806853115198,5.3159008733342406,33.45745911463511
553,8,3,0,1,1,0,1,1,2018,12.36434641,3.8252258793617013,11.300000000000002,62.88916218671788,83.3905541,55.50819227376926,5.3174589706923205,34.10948264
554,8,3,1,1,1,0,1,1,2018,9.330609499,1.4418462768928118,11.3,62.887484325743735,89.7457242,55.50806853115198,5.3159008733342406,38.440925883365345
555,8,3,2,1,1,0,1,1,2018,16.86676077,6.330704934851063,11.3,62.887484325743735,78.35487295,55.50806853115198,5.3159008733342406,38.440925883365345
556,8,5,0,1,1,0,1,1,2018,29.2014675151371,3.9466005389193737,11.300000000000002,62.88916218671788,80.51052787653917,55.50819227376926,5.3174589706923205,33.18014706
557,8,1,0,1,1,0,1,1,2018,33.3093374,3.562732253,11.300000000000002,62.88916218671788,81.83947812,55.50819227376926,5.3174589706923205,21.19077347
