,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Physical Activity | Teen Physical Education,Respiratory Disease | Teen Asthma,Substance Use | Adult Smoking
4710,0,2,0,1,1,1,1,1,2018,12.17151895,689.6245219,25.93739587,27.29028461,6.1601978517793405,25.63131454106959,28.17494875748726,15.200183257801505
4711,0,2,1,1,1,1,1,1,2018,12.357941725660321,726.2651763082146,24.945720714398615,27.11843948757105,6.160203399044853,17.298188793856227,25.905936660316605,15.200093756847735
4712,0,2,2,1,1,1,1,1,2018,12.357941725660321,865.3519224,24.945720714398615,27.11843948757105,6.160203399044853,22.071820679003928,27.702534863593673,15.200093756847735
4713,0,3,0,1,1,1,1,1,2018,9.695075939,496.555524,21.03374693,16.79977831,6.1601978517793405,22.8888984323833,27.840060905386572,15.200183257801505
4714,0,3,1,1,1,1,1,1,2018,9.932601323421133,403.4913185,19.46297515998757,16.639442987919644,6.160203399044853,15.847394963710027,26.322348650655037,15.200093756847735
4715,0,3,2,1,1,1,1,1,2018,9.932601323421133,620.4991333,19.46297515998757,16.639442987919644,6.160203399044853,21.645825128126916,27.791011404565968,15.200093756847735
4716,0,5,0,1,1,1,1,1,2018,9.329046539802619,606.400735248596,21.06952825,19.86461251,6.1601978517793405,20.685107835875908,24.76083578618615,15.200183257801505
4717,0,1,0,1,1,1,1,1,2018,6.670624577,562.4065132,62.13214712,42.20669427,6.1601978517793405,21.023961973099095,17.21991918323705,15.200183257801505
4718,0,1,1,1,1,1,1,1,2018,6.87250735623183,474.1168091,60.097267572040444,42.49541085364947,6.160203399044853,19.021998092210435,19.601677754266905,15.200093756847735
4719,0,1,2,1,1,1,1,1,2018,6.87250735623183,666.0222369,60.097267572040444,42.49541085364947,6.160203399044853,20.05170026376139,21.31629209520244,15.200093756847735
4720,0,0,0,1,1,1,1,1,2019,9.072929463,645.8261203,40.21267879,32.93297437,6.146297211,15.0,24.6,14.5
4721,0,0,1,1,1,1,1,1,2019,9.167173158039212,524.9704246,39.21654366547999,32.84640887847286,6.155538251514275,11.6,22.7,14.841700601960508
4722,0,0,2,1,1,1,1,1,2019,9.167173158039212,803.405652,39.21654366547999,32.84640887847286,6.155538251514275,18.2,26.5,14.841700601960508
4723,0,4,0,1,1,1,1,1,2019,8.454387539,446.3921336,44.76725485,45.06997552,6.155538251514275,10.8,17.9,14.841700601960508
4724,0,4,1,1,1,1,1,1,2019,8.579115283014211,350.1279938,43.74063944642454,44.04854766180203,6.155554743882005,26.460345205839584,21.14429598743553,14.842267858900293
4725,0,4,2,1,1,1,1,1,2019,8.579115283014211,563.2523363,43.74063944642454,44.04854766180203,6.155554743882005,25.49257508070451,23.442503571037083,14.842267858900293
4726,0,2,0,1,1,1,1,1,2019,12.36956281,833.5369619,25.93739587,27.29028461,6.155538251514275,16.7,27.8,14.841700601960508
