,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1613,10,1,0,2,1,1,0,1,2019,19.10576614,9.986425042285227,30.363744096280552,46.917078150285825,732.9425471386968
1614,10,1,1,2,1,1,0,1,2019,18.94104642049016,9.986422153163184,41.60135201951982,46.91709385363548,732.9412765822738
1615,10,1,2,2,1,1,0,1,2019,18.94104642049016,9.986422153163184,27.122654874693453,46.91709385363548,732.9412765822738
1616,10,0,0,2,1,1,0,1,2020,22.34522937,9.991260734,32.8,46.89079454,756.8
1617,10,0,1,2,1,1,0,1,2020,21.461922677654872,9.991260733999999,42.67506242530503,46.89079454,743.635772722174
1618,10,0,2,2,1,1,0,1,2020,21.461922677654872,9.991260733999999,25.03756391030935,46.89079454,743.635772722174
1619,10,4,0,2,1,1,0,1,2020,10.26703705964132,9.991260733999999,29.68969283592194,46.89079454,743.635772722174
1620,10,4,1,2,1,1,0,1,2020,9.884770771380337,9.991260734,39.307552982295846,46.89079454,743.6279076510675
1621,10,4,2,2,1,1,0,1,2020,9.884770771380337,9.991260734,24.804312245993582,46.89079454,743.6279076510675
1622,10,2,0,2,1,1,0,1,2020,35.85436027,9.991260733999999,31.877053661657865,46.89079454,743.635772722174
1623,10,2,1,2,1,1,0,1,2020,34.754260067992206,9.991260734,38.705497861493,46.89079454,743.6279076510675
1624,10,2,2,2,1,1,0,1,2020,34.754260067992206,9.991260734,27.035941824592427,46.89079454,743.6279076510675
1625,10,3,0,2,1,1,0,1,2020,13.05189987,9.991260733999999,35.04306812752351,46.89079454,743.635772722174
1626,10,3,1,2,1,1,0,1,2020,13.060313769461425,9.991260734,38.57708066717595,46.89079454,743.6279076510675
1627,10,3,2,2,1,1,0,1,2020,13.060313769461425,9.991260734,30.719367382697186,46.89079454,743.6279076510675
1628,10,5,0,2,1,1,0,1,2020,21.461922677654872,9.991260733999999,33.58614211033407,46.89079454,743.635772722174
1629,10,1,0,2,1,1,0,1,2020,19.28970505,9.991260733999999,30.404298343643504,46.89079454,743.635772722174
1630,10,1,1,2,1,1,0,1,2020,18.537863386475273,9.991260734,41.60996364037027,46.89079454,743.6279076510675
1631,10,1,2,2,1,1,0,1,2020,18.537863386475273,9.991260734,27.139564966545247,46.89079454,743.6279076510675
1632,10,0,0,2,1,1,0,1,2021,21.28390909,9.991260734,32.92854902015292,46.89079454,756.8
1633,10,0,1,2,1,1,0,1,2021,21.459894686898757,9.991260733999999,45.68634905935466,46.89079454,743.7715536236437
1634,10,0,2,2,1,1,0,1,2021,21.459894686898757,9.991260733999999,26.31698841434071,46.89079454,743.7715536236437
1635,10,4,0,2,1,1,0,1,2021,10.101639718203309,9.991260733999999,29.869263928289577,46.89079454,743.7715536236437
1636,10,4,1,2,1,1,0,1,2021,10.101690978540665,9.991260734,43.28443956782625,46.89079454,743.6974051231624
1637,10,4,2,2,1,1,0,1,2021,10.101690978540665,9.991260734,26.985383033596737,46.89079454,743.6974051231624
1638,10,2,0,2,1,1,0,1,2021,34.03907763,9.991260733999999,33.38523660913709,46.89079454,743.7715536236437
1639,10,2,1,2,1,1,0,1,2021,34.75676405542225,9.991260734,42.02720787244427,46.89079454,743.6974051231624
1640,10,2,2,2,1,1,0,1,2021,34.75676405542225,9.991260734,30.9518660462659,46.89079454,743.6974051231624
1641,10,3,0,2,1,1,0,1,2021,12.69230162,9.991260733999999,38.40416201795239,46.89079454,743.7715536236437
1642,10,3,1,2,1,1,0,1,2021,13.05961630812223,9.991260734,40.283929860747676,46.89079454,743.6974051231624
1643,10,3,2,2,1,1,0,1,2021,13.05961630812223,9.991260734,32.39862087800981,46.89079454,743.6974051231624
1644,10,5,0,2,1,1,0,1,2021,21.459894686898757,9.991260733999999,33.03268357589203,46.89079454,743.7715536236437
1645,10,1,0,2,1,1,0,1,2021,18.22773216,9.991260733999999,33.08978843976729,46.89079454,743.7715536236437
1646,10,1,1,2,1,1,0,1,2021,18.534345321868326,9.991260734,40.74127088254382,46.89079454,743.6974051231624
1647,10,1,2,2,1,1,0,1,2021,18.534345321868326,9.991260734,29.764185216257967,46.89079454,743.6974051231624
1648,10,0,0,2,1,1,0,1,2022,20.33894146,9.991260734,33.63332228303192,46.89079454,756.8
1649,10,0,1,2,1,1,0,1,2022,21.29631533986944,10.149981663353094,45.68822532146463,46.75319168786725,744.8353005646717
1650,10,0,2,2,1,1,0,1,2022,21.29631533986944,10.149981663353094,26.32015125618322,46.75319168786725,744.8353005646717
1651,10,4,0,2,1,1,0,1,2022,9.840934951534553,10.149981663353094,33.54382366735203,46.75319168786725,744.8353005646717
1652,10,4,1,2,1,1,0,1,2022,9.842385214858126,10.153116803641357,43.28334051109978,46.75047368308199,744.5989674522738
1653,10,4,2,2,1,1,0,1,2022,9.842385214858126,10.153116803641357,26.98604036417478,46.75047368308199,744.5989674522738
1654,10,2,0,2,1,1,0,1,2022,38.09208008,10.149981663353094,33.37611671699881,46.75319168786725,744.8353005646717
1655,10,2,1,2,1,1,0,1,2022,34.858592308270936,10.153116803641357,42.479222601275026,46.75047368308199,744.5989674522738
1656,10,2,2,2,1,1,0,1,2022,34.858592308270936,10.153116803641357,29.41911154431432,46.75047368308199,744.5989674522738
1657,10,3,0,2,1,1,0,1,2022,12.75871971,10.149981663353094,38.42008344214264,46.75319168786725,744.8353005646717
1658,10,3,1,2,1,1,0,1,2022,14.293271242373631,10.153116803641357,41.51592327694932,46.75047368308199,744.5989674522738
1659,10,3,2,2,1,1,0,1,2022,14.293271242373631,10.153116803641357,30.503313310511558,46.75047368308199,744.5989674522738
1660,10,5,0,2,1,1,0,1,2022,21.29631533986944,10.149981663353094,33.83849752141576,46.75319168786725,744.8353005646717
1661,10,1,0,2,1,1,0,1,2022,16.55681631,10.149981663353094,30.813790465527653,46.75319168786725,744.8353005646717
1662,10,1,1,2,1,1,0,1,2022,18.282010236771615,10.153116803641357,40.73942522105236,46.75047368308199,744.5989674522738
1663,10,1,2,2,1,1,0,1,2022,18.282010236771615,10.153116803641357,29.763998050585595,46.75047368308199,744.5989674522738
