,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Adult Obesity,Income | Poverty in Children,Physical Activity | Adult Physical Inactivity,"Respiratory Infection | COVID-19 Vaccination, Seniors",Substance Use | Teen Marijuana
5245,3,1,0,1,0,1,1,1,2012,32.800000000000004,15.39654206,28.4,84.70048958930695,22.085395232416307
5246,3,1,1,1,0,1,1,1,2012,32.8,15.59115872932143,28.4,84.70036283406833,22.29495226578875
5247,3,1,2,1,0,1,1,1,2012,32.8,15.59115872932143,28.4,84.70036283406833,23.75928737869959
5248,3,0,0,1,0,1,1,1,2013,32.8,35.96447895,28.4,84.70284584569669,25.1
5249,3,0,1,1,0,1,1,1,2013,32.36052655521673,35.93518135149031,28.83947344478327,84.70241500975182,24.8
5250,3,0,2,1,0,1,1,1,2013,32.36052655521673,35.93518135149031,28.83947344478327,84.70241500975182,25.3
5251,3,4,0,1,0,1,1,1,2013,32.36052655521673,30.93597473,28.83947344478327,84.70241500975182,8.7
5252,3,4,1,1,0,1,1,1,2013,32.360263988351264,31.864628338426503,28.83973601164873,84.70205217992358,15.720839655930883
5253,3,4,2,1,0,1,1,1,2013,32.360263988351264,31.864628338426503,28.83973601164873,84.70205217992358,17.27977174401879
5254,3,2,0,1,0,1,1,1,2013,32.36052655521673,41.04597873,28.83947344478327,84.70241500975182,28.0
5255,3,2,1,1,0,1,1,1,2013,32.360263988351264,40.84984436365368,28.83973601164873,84.70205217992358,22.842902111761106
5256,3,2,2,1,0,1,1,1,2013,32.360263988351264,40.84984436365368,28.83973601164873,84.70205217992358,24.401834199849016
5257,3,3,0,1,0,1,1,1,2013,32.36052655521673,48.62670103,28.83947344478327,84.70241500975182,24.6
5258,3,3,1,1,0,1,1,1,2013,32.360263988351264,48.95350247398405,28.83973601164873,84.70205217992358,21.74241299180137
5259,3,3,2,1,0,1,1,1,2013,32.360263988351264,48.95350247398405,28.83973601164873,84.70205217992358,23.30134507988928
5260,3,5,0,1,0,1,1,1,2013,32.36052655521673,30.88888889,28.83947344478327,84.70241500975182,22.881157093482138
5261,3,1,0,1,0,1,1,1,2013,32.36052655521673,15.88318599,28.83947344478327,84.70241500975182,21.7
5262,3,1,1,1,0,1,1,1,2013,32.360263988351264,15.688569320678571,28.83973601164873,84.70205217992358,22.300774439936248
5263,3,1,2,1,0,1,1,1,2013,32.360263988351264,15.688569320678571,28.83973601164873,84.70205217992358,23.759788048017448
5264,3,0,0,1,0,1,1,1,2014,32.8,35.96447895,28.4,84.70746300531387,25.1
5265,3,0,1,1,0,1,1,1,2014,31.660496057422893,35.94984460614272,28.580652790322713,84.70599298994551,21.497254910717846
5266,3,0,2,1,0,1,1,1,2014,31.660496057422893,35.94984460614272,28.580652790322713,84.70599298994551,21.962935159680683
5267,3,4,0,1,0,1,1,1,2014,31.660496057422893,30.93597473,28.580652790322713,84.70599298994551,6.182860202340421
5268,3,4,1,1,0,1,1,1,2014,31.66024868409379,31.399843337712763,28.580327290490793,84.70491189619985,13.160309707061733
5269,3,4,2,1,0,1,1,1,2014,31.66024868409379,31.399843337712763,28.580327290490793,84.70491189619985,16.957671199253767
5270,3,2,0,1,0,1,1,1,2014,31.660496057422893,41.04597873,28.580652790322713,84.70599298994551,23.840117790106138
